Teff,xi,muFast,alpha,stdVal,meanVal,u_stdVal,u_meanVal,ur_stdVal,ur_meanVal
4.7767377,0.2727895,0.1116055,0.0008836,0.0505710,0.0449526,0.0672488,0.0260710,0.0945961,0.0476354
5.9062350,0.4861174,0.0914394,0.0005731,0.0362224,0.0271281,0.0545967,0.0232808,0.1242817,0.0429230
5.0286022,0.3947316,0.0471433,0.0008882,0.0349308,0.0312402,0.0247409,0.0015651,0.0801560,0.0198468
5.1161534,0.3611052,0.0355308,0.0005782,0.0355383,0.0291098,0.0160978,0.0003411,0.0906509,0.0328586
4.7667868,0.3980204,0.0882548,0.0008965,0.0403389,0.0295541,0.0506967,0.0227988,0.1172538,0.0465704
4.6318122,0.3376365,0.0803360,0.0008850,0.0426655,0.0385552,0.0433892,0.0187216,0.0864433,0.0478796
4.3023024,0.2973017,0.0581925,0.0008755,0.0420106,0.0389254,0.0291911,0.0040249,0.0831445,0.0260143
6.0913974,0.3455917,0.0660082,0.0008827,0.0422448,0.0421157,0.0374585,0.0111597,0.1553163,0.0648623
4.1088680,0.5461311,0.0800260,0.0007845,0.0316095,0.0171068,0.0417665,0.0195552,0.0802304,0.0444690
4.4637310,0.4157883,0.0738054,0.0006564,0.0330413,0.0264252,0.0371541,0.0141547,0.0784914,0.0441249
4.6066025,0.4481347,0.0964596,0.0004327,0.0367297,0.0238054,0.0558751,0.0236629,0.0884450,0.0453878
4.9896173,0.5747339,0.1073042,0.0007962,0.0403929,0.0248271,0.0615736,0.0250639,0.1017748,0.0453054
4.7270326,0.2476799,0.0520823,0.0008019,0.0430872,0.0459042,0.0275185,0.0026389,0.0804342,0.0178773
4.2603875,0.4761624,0.0798279,0.0007277,0.0322799,0.0199368,0.0418972,0.0184622,0.0815183,0.0441654
3.8722250,0.4268933,0.0499563,0.0009581,0.0299717,0.0246714,0.0245220,0.0015546,0.0752170,0.0154053
3.9074298,0.3323178,0.0931488,0.0009083,0.0413704,0.0306634,0.0529186,0.0240274,0.1285026,0.0471666
5.9518003,0.3598581,0.0789002,0.0006136,0.0418907,0.0377714,0.0433237,0.0191832,0.0994425,0.0418002
4.5293424,0.3537531,0.0869610,0.0007304,0.0411416,0.0319489,0.0516736,0.0198890,0.1102469,0.0418256
4.7262619,0.5480092,0.0592513,0.0007951,0.0260799,0.0192752,0.0301831,0.0047169,0.0972958,0.0317918
3.3632275,0.3322705,0.0466013,0.0007166,0.0374815,0.0293063,0.0224593,0.0018827,0.0999437,0.0094737
4.6503188,0.3385229,0.0506508,0.0009365,0.0385716,0.0356674,0.0256599,0.0019661,0.0791011,0.0200079
3.6206781,0.4379057,0.0693613,0.0006272,0.0289924,0.0201545,0.0344516,0.0091763,0.1142899,0.0308358
5.6377554,0.3926221,0.0887313,0.0005683,0.0408991,0.0333664,0.0509689,0.0231687,0.1383586,0.0518187
4.3528385,0.2305167,0.0823871,0.0008139,0.0499461,0.0423139,0.0450377,0.0207058,0.0810961,0.0455106
4.5657756,0.3524521,0.0820402,0.0005581,0.0409951,0.0330148,0.0516906,0.0261587,0.1274064,0.0600707
4.8882839,0.2117411,0.0914059,0.0007025,0.0522657,0.0465939,0.0545834,0.0228767,0.1075819,0.0476855
4.3237219,0.4219241,0.1096515,0.0007819,0.0413546,0.0274623,0.0640927,0.0228495,0.0911202,0.0514780
3.2716175,0.2537677,0.0481393,0.0008118,0.0387648,0.0348797,0.0231631,0.0012489,0.0786082,0.0152127
4.1300050,0.1526510,0.0773402,0.0007841,0.0504027,0.0534590,0.0397244,0.0151569,0.1272105,0.0403831
4.2954281,0.4860834,0.1166229,0.0006405,0.0416135,0.0271460,0.0649745,0.0296927,0.0954413,0.0492406
5.1810092,0.3004858,0.1056976,0.0008171,0.0490964,0.0431626,0.0627003,0.0265727,0.1045942,0.0477825
4.4071585,0.3036884,0.0943536,0.0005284,0.0462288,0.0366732,0.0536446,0.0246841,0.1029355,0.0517341
4.4882327,0.4115677,0.0797560,0.0005323,0.0776819,0.0189474,0.2791890,-0.0097441,0.2135007,0.0273076
4.7488321,0.3062975,0.0810403,0.0009824,0.0449656,0.0398471,0.0451118,0.0205292,0.0896289,0.0483657
4.9959243,0.2763256,0.0744391,0.0006826,0.0451947,0.0427191,0.0394795,0.0143920,0.0865114,0.0490690
4.5108091,0.3097560,0.0840663,0.0004012,0.0441223,0.0361134,0.0475370,0.0223092,0.0929839,0.0461198
4.6679621,0.4728263,0.0763145,0.0007762,0.0321493,0.0222606,0.0415298,0.0205022,0.0927746,0.0508108
4.3500763,0.4072224,0.0816262,0.0007613,0.0353963,0.0259723,0.0445135,0.0212058,0.0837484,0.0461483
2.6889865,0.3862300,0.0764966,0.0008952,0.0383411,0.0216176,0.0348498,0.0098938,0.1180005,0.0278244
4.8763422,0.2893794,0.0546459,0.0009035,0.0419229,0.0430845,0.0296392,0.0033557,0.0761468,0.0258683
4.6536033,0.4593233,0.0635016,0.0006585,0.0282750,0.0251075,0.0323272,0.0092396,0.0763964,0.0377739
5.0691197,0.3283895,0.0601201,0.0008860,0.0406302,0.0391973,0.0330568,0.0049322,0.0846955,0.0363686
4.1582871,0.3981467,0.0812081,0.0004945,0.0556114,0.0176370,0.2682246,-0.0340137,0.3293484,-0.0240159
5.0522910,0.3435380,0.0910193,0.0005776,0.0432428,0.0345815,0.0542648,0.0224574,0.1308995,0.0491160
4.2743150,0.1002081,0.0896039,0.0007254,0.0549376,0.0554917,0.0517726,0.0241802,0.1224668,0.0489259
5.2204043,0.5016929,0.0609543,0.0008857,0.0284318,0.0251725,0.0336122,0.0076612,0.0823847,0.0438134
4.6920601,0.3874347,0.0600542,0.0008321,0.0355921,0.0332420,0.0309547,0.0049137,0.0833499,0.0350174
4.7169406,0.4771967,0.0644830,0.0008347,0.0287566,0.0242458,0.0332152,0.0093178,0.0844000,0.0461606
4.0357659,0.4598604,0.0873803,0.0006744,0.0349160,0.0197736,0.0490735,0.0216514,0.1036314,0.0433596
5.3353709,0.4430974,0.0914374,0.0006466,0.0379413,0.0278439,0.0533913,0.0232066,0.1235003,0.0484490
3.6190878,0.3494163,0.0654148,0.0008240,0.0361339,0.0321814,0.0349732,0.0044360,0.1085995,0.0239579
4.3988284,0.2405061,0.0830226,0.0008515,0.0497749,0.0428382,0.0465632,0.0216787,0.0872503,0.0477725
6.6597781,0.5946489,0.0813727,0.0006930,0.0325733,0.0231340,0.0492085,0.0242833,0.1180673,0.0417205
4.0649167,0.4863662,0.0847988,0.0006282,0.0336750,0.0183483,0.0471348,0.0202317,0.0891756,0.0400747
4.5138054,0.3174076,0.0619835,0.0005810,0.0405376,0.0377190,0.0332110,0.0056895,0.0818867,0.0321133
3.9632162,0.4073787,0.0578972,0.0004465,0.0311692,0.0269440,0.0277320,0.0032240,0.0801577,0.0267707
5.2056135,0.4515548,0.0624035,0.0008904,0.0313783,0.0296119,0.0351113,0.0099870,0.0834747,0.0441002
5.2294889,0.2934474,0.0548737,0.0007345,0.0405786,0.0428177,0.0300055,0.0033795,0.0925540,0.0310202
4.8550841,0.4207217,0.0743702,0.0006618,0.0345094,0.0283570,0.0386816,0.0150726,0.0869184,0.0485351
3.9677657,0.3274476,0.0780158,0.0007494,0.0407198,0.0338632,0.0397841,0.0146664,0.0858764,0.0411781
3.9060982,0.3518846,0.0586740,0.0008476,0.0371726,0.0330951,0.0298785,0.0012799,0.0809440,0.0233181
3.8733018,0.2915656,0.0916552,0.0008324,0.0458704,0.0354646,0.0534921,0.0222225,0.1102866,0.0418999
4.4241040,0.3203730,0.0926281,0.0009640,0.0461717,0.0365350,0.0534041,0.0232427,0.1484457,0.0529311
5.1383997,0.4119750,0.0609896,0.0008351,0.0360036,0.0337822,0.0337700,0.0065130,0.0908412,0.0383618
4.5639866,0.1922986,0.0693113,0.0004098,0.0469153,0.0508420,0.0380518,0.0094747,0.0921369,0.0379484
4.3392568,0.3869347,0.0831540,0.0006134,0.0373616,0.0277207,0.0464678,0.0211989,0.0866506,0.0437223
3.8829332,0.4809387,0.0987836,0.0007354,0.0383481,0.0215359,0.0567223,0.0218713,0.0831148,0.0412041
3.8291609,0.4052756,0.0975694,0.0007487,0.0382061,0.0242165,0.0565318,0.0220337,0.0894648,0.0406858
4.2360207,0.3672076,0.0611794,0.0007194,0.0360514,0.0331563,0.0315324,0.0043448,0.0891304,0.0304758
4.6452349,0.3369187,0.0515832,0.0007777,0.0393977,0.0350558,0.0267749,0.0025797,0.0755378,0.0210773
4.2967689,0.3843156,0.0837717,0.0008326,0.0376170,0.0275701,0.0465330,0.0218401,0.0875757,0.0438335
5.1143443,0.4620211,0.0623337,0.0009202,0.0300435,0.0282331,0.0345101,0.0097288,0.0827147,0.0429564
4.2343526,0.2467359,0.0794509,0.0008161,0.0480143,0.0420430,0.0412429,0.0158157,0.1140991,0.0521395
4.1575507,0.2948891,0.0716600,0.0008944,0.0429374,0.0390550,0.0368520,0.0108239,0.0922827,0.0343266
4.7128213,0.3655033,0.0891275,0.0007726,0.0407750,0.0314721,0.0512946,0.0235759,0.1421930,0.0531667
3.8724189,0.3093670,0.0625770,0.0009093,0.0401587,0.0367899,0.0320818,0.0047324,0.1161676,0.0364538
4.1281123,0.2862191,0.0766489,0.0009706,0.0443228,0.0393513,0.0389571,0.0142037,0.0982394,0.0482505
3.8593260,0.5111687,0.0854321,0.0005322,0.0338615,0.0170559,0.0471794,0.0206619,0.0923857,0.0393098
4.5677673,0.3162100,0.0632491,0.0007632,0.0446959,0.0347474,0.1146185,-0.0135847,0.1647220,0.0005247
4.4636559,0.3495970,0.0986468,0.0007269,0.0422373,0.0326233,0.0578762,0.0230465,0.1060277,0.0390878
4.4040969,0.5158271,0.0650279,0.0008672,0.0277553,0.0196634,0.0350719,0.0079479,0.0708101,0.0368638
4.8577966,0.4966398,0.0884272,0.0007280,0.0347553,0.0213028,0.0509380,0.0225025,0.1387744,0.0409228
4.5106198,0.3083799,0.0380973,0.0005116,0.0407568,0.0326849,0.0200572,0.0012550,0.1390471,0.0321537
4.5108617,0.3864516,0.0712433,0.0006927,0.0357186,0.0310240,0.0370859,0.0119417,0.0729687,0.0436114
3.6366571,0.3340064,0.0520983,0.0007826,0.0377036,0.0327635,0.0262932,0.0022364,0.0718654,0.0126684
